Track Name,Artist(s),Album,Release Date,Track URI
I'm Shipping Up To Boston,Dropkick Murphys,The Warrior's Code,2005-07-19,spotify:track:7rSERmjAT38lC5QhJ8hnQc
You Spin Me Round (Like a Record),Dead Or Alive,Youthquake,1985-03-26,spotify:track:7uHO4AmKtyGa5v5fsElGoC
He's a Pirate,Klaus Badelt,Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack),2003-07-22,spotify:track:08QaHlMPWuO5PUxjl61bXn
Sea Legs,"Run The Jewels, El-P, Killer Mike",Run The Jewels,2013-06-26,spotify:track:0ATVlCuG5QA2Y0WJg45Awc
Surf,Sable,Kanto EP,2015-03-23,spotify:track:0CN4qhF3IUN2T8It1Ttu8X
"Yo, Ho, Ho! (And a Bottle of Rum)",Craig Toungate,Disney's Ultimate Swashbuckler Collection,2006-01-01,spotify:track:0DgctWKqMDJsTcLIdLullK
"Rolex, the Ocean",Jonah Yano,"Rolex, the Ocean",2018-10-03,spotify:track:0igLG9dfL33XFXpfyZgmb4
Come Sail Away,Styx,The Grand Illusion,1977-01-01,spotify:track:0PsbWiVtix5FoTZ1s00mEl
Drink,Alestorm,Sunset on the Golden Age,2014-08-04,spotify:track:0SPHbfBIe0mdRnae2MWuzr
WHALE,Yellow Ostrich,The Mistress,2011,spotify:track:1NQkPT6lGkCe5N3gVhRyZD
Santiana,The Longest Johns,Between Wind And Water,2018-06-07,spotify:track:21Jm43WPaIsv82UJsPkMF0
Barrett's Privateers,Stan Rogers,Between The Breaks Live!,1979,spotify:track:2636yvI6PfH8lfIO3Kx5t2
Exotica,Parcels,Parcels,2018-10-12,spotify:track:2eC43PWHMbUnwqCRZcbGfo
Leave Her Johnny,"Sean Dagher, Nils Brown, Michiel Schrey, Assassin's Creed",Assassin's Creed 4: Black Flag (Sea Shanty Edition) [Original Game Soundtrack],2013-10-29,spotify:track:2vaa0nnDnNTlxCh7fCmjsr
Bismarck,Sabaton,Bismarck,2019-05-17,spotify:track:39m87lOMd5ccENPVvAT7gH
Electric Feel,MGMT,Oracular Spectacular,2007-12-14,spotify:track:3FtYbEfBqAlGO46NUDQSAt
I'm On A Boat,"The Lonely Island, T-Pain",Incredibad,2009,spotify:track:3IQSYqnKsCTMLWn2xE3HFT
Treat Me Like a Pirate (feat. Whatchyamacallit),"Flynt Flossy, Yung Humma, Whatchyamacallit",Turquoise J33P Records: Existing Musical Beings,2014-01-17,spotify:track:3PPAPcQCsSkeX9JxPn7Pix
The Lighthouse,Dawuna,Glass Lit Dream,2021-11-05,spotify:track:4ks2FEl7f8kNn0vzh3tQBd
The Flying Dutchman,The Jolly Rogers,X X V,2016-08-30,spotify:track:4m6d1gakr80NsDIOX4B43p
